date,line
2024-05-22,Gasthaus Hämikerberg
2024-06-05,Gasthaus Hämikerberg
2024-06-19,Gasthaus Hämikerberg
2024-07-03,Gasthaus Hämikerberg
2024-07-17,Gasthaus Hämikerberg
2024-07-31,Gasthaus Hämikerberg
2024-08-14,Gasthaus Hämikerberg
2024-08-28,Gasthaus Hämikerberg
