date,line,price,description
2022-03-19,,10,
2022-04-02,,10,
2022-04-23,,10,
2022-05-14,,10,
2022-06-11,,10,
2022-07-02,"Grill & Dance",40,"Ab 19:00. Anmeldung erforderlich"
