date, line
2019-12-14, Weihnachtstanzabend
2020-01-18, 
2020-02-22, 
2020-03-21, 
2020-04-25, 
2020-09-19, 
2020-10-17, 
2020-11-21, 
2020-12-12, Weihnachtstanzabend
